station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
170690,Nattavara,2,66.7666,20.9666,1/1/1962 0:00,8/31/1963 23:59,330
170790,Sudok,2,66.3006,20.424,9/1/1975 0:00,4/30/1995 23:59,170
170850,Murjek,2,66.48,20.9,6/1/1961 0:00,2/29/1968 23:59,245
170860,Jokkmokk Flygplats Mo,2,66.499,20.131,3/1/2000 0:00,10/1/2016 11:00,275
170930,Nattavaara A,2,66.7529,20.9281,4/1/1996 0:00,10/1/2016 11:00,327
171790,Lakaträsk A,2,66.2801,21.133,11/21/1995 0:00,10/1/2016 11:00,185
171810,Pålkem,2,66.3888,21.6098,2/1/1962 0:00,12/31/1985 23:59,265
171820,Pålkem M,2,66.3855,21.6167,5/1/1970 0:00,10/31/2000 23:59,261
171920,Nattavaara by,2,66.7586,21.0537,2/1/1990 0:00,9/30/1991 23:59,350
172680,Naisheden,2,66.5333,22.3666,1/1/1951 0:00,6/30/1962 23:59,95
172770,Överkalix-Svartbyn A,2,66.263,22.8472,12/1/1995 0:00,10/1/2016 11:00,61
172790,Överkalix-Svartbyn,2,66.2833,22.85,7/9/1962 0:00,2/28/1975 23:59,50
172920,Markusvinsa,2,66.7265,22.9001,5/1/2002 0:00,9/30/2016 23:59,164
172940,Paharova A,2,66.8107,22.336,12/1/1995 0:00,10/1/2016 11:00,228
173810,Övertorneå,2,66.3862,23.622,6/1/2001 0:00,9/30/2016 23:59,75
173900,Ylinenjärvi A,2,66.6235,23.468,12/15/1995 0:00,10/1/2016 11:00,132
173960,Korpilombolo M,2,66.8542,23.0571,3/1/1966 0:00,8/31/1995 23:59,178
176800,Staloluokta,2,67.4083,16.4199,9/1/1989 0:00,10/31/1994 23:59,600
177920,Ritsem,2,67.7261,17.4718,3/1/1981 0:00,1/31/1998 23:59,521
